"filename", "language", "TypeScript", "TypeScript React", "JSON with Comments", "CSS", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\dell\Desktop\node.js\eam\front\base\container\index.module.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 0, 13
"c:\Users\dell\Desktop\node.js\eam\front\base\container\index.tsx", "TypeScript React", 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\dell\Desktop\node.js\eam\front\base\media\index.tsx", "TypeScript React", 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\Users\dell\Desktop\node.js\eam\front\config\index.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 12, 24, 64
"c:\Users\dell\Desktop\node.js\eam\front\container\AllForm\index.tsx", "TypeScript React", 0, 224, 0, 0, 0, 0, 0, 15, 239
"c:\Users\dell\Desktop\node.js\eam\front\container\Chart\index.tsx", "TypeScript React", 0, 64, 0, 0, 0, 0, 0, 8, 72
"c:\Users\dell\Desktop\node.js\eam\front\container\Inspect\index.tsx", "TypeScript React", 0, 74, 0, 0, 0, 0, 0, 5, 79
"c:\Users\dell\Desktop\node.js\eam\front\container\Member\index.tsx", "TypeScript React", 0, 86, 0, 0, 0, 0, 0, 4, 90
"c:\Users\dell\Desktop\node.js\eam\front\container\Upload\index.tsx", "TypeScript React", 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\dell\Desktop\node.js\eam\front\container\choice\index.tsx", "TypeScript React", 0, 263, 0, 0, 0, 0, 4, 7, 274
"c:\Users\dell\Desktop\node.js\eam\front\container\verification\index.tsx", "TypeScript React", 0, 33, 0, 0, 0, 0, 0, 0, 33
"c:\Users\dell\Desktop\node.js\eam\front\next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 2, 6
"c:\Users\dell\Desktop\node.js\eam\front\package.json", "JSON", 0, 0, 0, 0, 0, 41, 0, 1, 42
"c:\Users\dell\Desktop\node.js\eam\front\pages\_app.tsx", "TypeScript React", 0, 4, 0, 0, 0, 0, 1, 5, 10
"c:\Users\dell\Desktop\node.js\eam\front\pages\admin\index.tsx", "TypeScript React", 0, 33, 0, 0, 0, 0, 0, 3, 36
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\count.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\deleteSerious.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\getOneSerious.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\getSerious.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\inspection.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\search.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\serious.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\upload.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\user\[id].ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 4, 50
"c:\Users\dell\Desktop\node.js\eam\front\pages\index.module.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 12
"c:\Users\dell\Desktop\node.js\eam\front\pages\index.tsx", "TypeScript React", 0, 43, 0, 0, 0, 0, 0, 7, 50
