"filename", "language", "TypeScript", "CSS", "TypeScript React", "comment", "blank", "total"
"c:\Users\dell\Desktop\node.js\eam\front\container\AllForm\index.tsx", "TypeScript React", 0, 0, 8, 0, 0, 8
"c:\Users\dell\Desktop\node.js\eam\front\container\Inspect\index.tsx", "TypeScript React", 0, 0, 4, 0, 0, 4
"c:\Users\dell\Desktop\node.js\eam\front\container\Member\index.tsx", "TypeScript React", 0, 0, 4, 0, 0, 4
"c:\Users\dell\Desktop\node.js\eam\front\container\Upload\index.module.css", "CSS", 0, 3, 0, 0, 0, 3
"c:\Users\dell\Desktop\node.js\eam\front\pages\admin\index.tsx", "TypeScript React", 0, 0, 6, 0, 0, 6
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\getOneSerious.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"c:\Users\dell\Desktop\node.js\eam\front\pages\api\user\[id].ts", "TypeScript", -40, 0, 0, 0, 0, -40
"c:\Users\dell\Desktop\node.js\eam\front\pages\index.tsx", "TypeScript React", 0, 0, 0, 0, -4, -4
"c:\Users\dell\Desktop\node.js\eam\front\pages\inspect\index.tsx", "TypeScript React", 0, 0, 7, 0, 0, 7
"c:\Users\dell\Desktop\node.js\eam\front\pages\meta\index.tsx", "TypeScript React", 0, 0, 4, 0, 0, 4
"c:\Users\dell\Desktop\node.js\eam\front\pages\register\index.module.css", "CSS", 0, -3, 0, 0, 0, -3
"c:\Users\dell\Desktop\node.js\eam\front\pages\register\index.tsx", "TypeScript React", 0, 0, 8, 0, 0, 8
"c:\Users\dell\Desktop\node.js\eam\front\utils\axios.ts", "TypeScript", -1, 0, 0, 0, 1, 0
"Total", "-", -40, 0, 41, 0, -3, -2
